air,Air
potion:8194,Swiftness Potion (3:00)
potion:8195,Fire Resistance Potion (3:00)
potion:8196,Poison Potion (0:45)
potion:8197,Healing Potion
potion:8198,Night Vision Potion (3:00)
potion:8200,Weakness Potion (1:30)
potion:8201,Strength Potion (3:00)
potion:8202,Slowness Potion (1:30)
potion:8204,Harming Potion
potion:8205,Water Breathing Potion (3:00)
potion:8206,Invisibility Potion (3:00)
potion:8225,Regeneration Potion II (0:22)
potion:8226,Swiftness Potion II (1:30)
potion:8228,Poison Potion II (0:22)
potion:8229,Healing Potion II
potion:8233,Strength Potion II (1:30)
potion:8235,Leaping Potion II (1:30)
potion:8236,Harming Potion II
potion:8257,Regeneration Potion (2:00)
potion:8258,Swiftness Potion (8:00)
potion:8259,Fire Resistance Potion (8:00)
potion:8260,Poison Potion (2:00)
potion:8262,Night Vision Potion (8:00)
potion:8264,Weakness Potion (4:00)
potion:8265,Strength Potion (8:00)
potion:8266,Slowness Potion (4:00)
potion:8267,Leaping Potion (3:00)
potion:8269,Water Breathing Potion (8:00)
potion:8270,Invisibility Potion (8:00)
potion:8289,Regeneration Potion II (1:00)
potion:8290,Swiftness Potion II (4:00)
potion:8292,Poison Potion II (1:00)
potion:8297,Strength Potion II (4:00)
potion:16385,Regeneration Splash (0:33)
potion:16386,Swiftness Splash (2:15)
potion:16387,Fire Resistance Splash (2:15)
potion:16388,Poison Splash (0:33)
potion:16389,Healing Splash
potion:16390,Night Vision Splash (2:15)
potion:16392,Weakness Splash (1:07)
potion:16393,Strength Splash (2:15)
potion:16394,Slowness Splash (1:07)
potion:16396,Harming Splash
potion:16397,Breathing Splash (2:15)
potion:16398,Invisibility Splash (2:15)
potion:16417,Regeneration Splash II (0:16)
potion:16418,Swiftness Splash II (1:07)
potion:16420,Poison Splash II (0:16)
potion:16421,Healing Splash II
potion:16425,Strength Splash II (1:07)
potion:16427,Leaping Splash II (1:07)
potion:16428,Harming Splash II
potion:16449,Regeneration Splash (1:30)
potion:16450,Swiftness Splash (6:00)
potion:16451,Fire Resistance Splash (6:00)
potion:16452,Poison Splash (1:30)
potion:16454,Night Vision Splash (6:00)
potion:16456,Weakness Splash (3:00)
potion:16457,Strength Splash (6:00)
potion:16458,Slowness Splash (3:00)
potion:16459,Leaping Splash (2:15)
potion:16461,Breathing Splash (6:00)
potion:16462,Invisibility Splash (6:00)
potion:16481,Regeneration Splash II (0:45)
potion:16482,Swiftness Splash II (3:00)
potion:16484,Poison Splash II (0:45)
potion:16489,Strength Splash II (3:00)
glass_bottle,Glass Bottle
spider_eye,Spider Eye
fermented_spider_eye,Fermented Spider Eye
blaze_powder,Blaze Powder
magma_cream,Magma Cream
brewing_stand,Brewing Stand
cauldron,Cauldron
ender_eye,Eye of Ender
speckled_melon,Glistering Melon (Slice)
spawn_egg:50,Spawn Egg (Creeper)
spawn_egg:51,Spawn Egg (Skeleton)
spawn_egg:52,Spawn Egg (Spider)
spawn_egg:54,Spawn Egg (Zombie)
spawn_egg:55,Spawn Egg (Slime)
spawn_egg:56,Spawn Egg (Ghast)
spawn_egg:57,Spawn Egg (Zombie Pigmen)
spawn_egg:58,Spawn Egg (Endermen)
spawn_egg:59,Spawn Egg (Cave Spider)
spawn_egg:60,Spawn Egg (Silverfish)
spawn_egg:61,Spawn Egg (Blaze)
spawn_egg:62,Spawn Egg (Magma Cube)
spawn_egg:65,Spawn Egg (Bat)
spawn_egg:66,Spawn Egg (Witch)
spawn_egg:67,Spawn Egg (Endermite)
spawn_egg:68,Spawn Egg (Guardian)
spawn_egg:69,Spawn Egg (Shulker)
spawn_egg:90,Spawn Egg (Pig)
spawn_egg:91,Spawn Egg (Sheep)
spawn_egg:92,Spawn Egg (Cow)
spawn_egg:93,Spawn Egg (Chicken)
spawn_egg:94,Spawn Egg (Squid)
spawn_egg:95,Spawn Egg (Wolf)
spawn_egg:96,Spawn Egg (Mooshroom)
spawn_egg:98,Spawn Egg (Ocelot)
spawn_egg:100,Spawn Egg (Horse)
spawn_egg:101,Spawn Egg (Rabbit)
spawn_egg:102,Spawn Egg (Polar Bear)
spawn_egg:120,Spawn Egg (Villager)
experience_bottle,Bottle of Enchanting
fire_charge,Fire Charge
writable_book,Book and Quill
written_book,Written Book
emerald,Emerald
item_frame,Item Frame
flower_pot,Flower Pot
carrot,Carrot
potato,Potato
baked_potato,Baked Potato
poisonous_potato,Poisonous Potato
map,Empty Map
golden_carrot,Golden Carrot
skull,Head (Skeleton)
skull:1,Head (Wither)
skull:2,Head (Zombie)
skull:3,Head (Steve)
skull:4,Head (Creeper)
carrot_on_a_stick,Carrot on a Stick
nether_star,Nether Star
pumpkin_pie,Pumpkin Pie
fireworks,Firework Rocket
firework_charge,Firework Star
enchanted_book,Enchanted Book
comparator,Redstone Comparator
netherbrick,Nether Brick (Item)
quartz,Nether Quartz
tnt_minecart,Minecart (TNT)
hopper_minecart,Minecart (Hopper)
prismarine_shard,Prismarine Shard
prismarine_crystals,Prismarine Crystals
rabbit,Raw Rabbit
cooked_rabbit,Cooked Rabbit
rabbit_stew,Rabbit Stew
rabbit_foot,Rabbit's Foot
rabbit_hide,Rabbit Hide
armor_stand,Armor Stand
iron_horse_armor,Iron Horse Armor
golden_horse_armor,Gold Horse Armor
diamond_horse_armor,Diamond Horse Armor
lead,Lead
name_tag,Name Tag
command_block_minecart,Minecart (Command Block)
mutton,Raw Mutton
cooked_mutton,Cooked Mutton
banner,Banner (Black)
banner:1,Banner (Red)
banner:2,Banner (Green)
banner:3,Banner (Brown)
banner:4,Banner (Blue)
banner:5,Banner (Purple)
banner:6,Banner (Cyan)
banner:7,Banner (Light Gray)
banner:8,Banner (Gray)
banner:9,Banner (Pink)
banner:10,Banner (Lime)
banner:11,Banner (Yellow)
banner:12,Banner (Light Blue)
banner:13,Banner (Magenta)
banner:14,Banner (Orange)
banner:15,Banner (White)
end_crystal,End Crystal
spruce_door,Wooden Door (Spruce)
birch_door,Wooden Door (Birch)
jungle_door,Wooden Door (Jungle)
acacia_door,Wooden Door (Acacia)
dark_oak_door,Wooden Door (Dark Oak)
chorus_fruit,Chorus Fruit
chorus_fruit_popped,Chorus Fruit (Popped)
beetroot,Beetroot
beetroot_seeds,Beetroot Seeds
beetroot_soup,Beetroot Soup
dragon_breath,Dragon's Breath
spectral_arrow,Arrow (Spectral)
shield,Shield
elytra,Elytra
totem,Totem of Undying
shulker_shell,Shulker Shell
record_13,Music Disk (13)
record_cat,Music Disk (Cat)
record_blocks,Music Disk (Blocks)
record_chirp,Music Disk (Chirp)
record_far,Music Disk (Far)
record_mall,Music Disk (Mall)
record_mellohi,Music Disk (Mellohi)
record_stal,Music Disk (Stal)
record_strad,Music Disk (Strad)
record_ward,Music Disk (Ward)
record_11,Music Disk (11)
record_wait,Music Disk (Wait)
